,Date,Open,Open_vn30,Open_vnind,High,High_vn30,High_vnind,Low,Low_vn30,Low_vnind,Close,Close_vn30,Close_vnind,Volume,Volume_vn30,Volume_vnind
111,2019-01-21,844.8,854.79,902.3,862.3,865.59,911.74,844.1,854.79,902.3,862.0,863.82,911.05,124449.0,47109702.0,160137690.0
112,2019-01-22,863.4,864.1,911.05,863.4,865.92,913.37,852.8,859.63,906.55,854.0,860.0,906.55,129617.0,33914940.0,147809217.0
113,2019-01-23,853.5,859.17,906.55,863.4,864.83,910.12,851.7,856.77,905.12,860.8,861.8,908.18,147020.0,34064220.0,125188829.0
114,2019-01-24,860.5,861.73,908.18,866.7,866.49,910.59,859.0,861.04,906.59,861.7,865.06,908.79,166608.0,35899470.0,105761744.0
115,2019-01-25,864.5,865.52,908.79,868.8,869.53,911.59,863.6,865.44,907.96,867.9,867.52,908.88,129033.0,32848460.0,114335168.0
116,2019-01-28,870.3,867.7,908.88,872.5,871.56,913.43,863.8,865.9,908.88,865.0,867.72,912.18,113209.0,23536590.0,116892675.0
117,2019-01-29,862.4,868.76,912.18,870.0,871.21,915.93,860.7,863.22,907.09,870.0,869.36,915.93,109982.0,29454441.0,111515981.0
118,2019-01-30,871.3,872.03,915.93,872.8,872.03,917.8,867.2,867.92,913.48,868.2,870.21,915.84,122547.0,29985430.0,123918299.0
119,2019-01-31,873.1,869.16,915.84,874.5,874.09,920.36,866.0,863.85,910.38,866.9,866.86,910.65,103481.0,43245070.0,130034779.0
120,2019-02-01,866.4,866.06,910.65,868.8,868.15,912.81,862.6,859.38,907.52,868.5,865.95,912.81,91446.0,44244132.0,96554295.0
121,2019-02-11,868.3,859.81,908.67,878.0,876.91,926.1,868.3,859.81,908.67,878.0,876.75,926.1,63804.0,47359925.0,118817454.0
122,2019-02-12,878.1,878.67,926.1,889.7,890.16,938.64,877.8,878.67,926.1,885.0,888.47,937.54,119240.0,65513965.0,186156694.0
123,2019-02-13,888.0,888.33,937.54,895.7,896.88,945.25,885.7,887.6,937.34,894.5,895.69,945.25,137697.0,77321856.0,211137886.0
124,2019-02-14,893.9,897.42,945.25,896.8,904.11,953.66,890.6,897.3,945.25,892.1,900.9,952.34,122562.0,62036173.0,178821769.0
125,2019-02-15,890.6,900.12,952.34,892.6,903.11,955.4,887.0,895.13,948.26,889.6,899.16,950.89,87710.0,49400920.0,156802490.0
126,2019-02-18,897.3,897.74,950.89,899.6,904.54,961.3,895.8,897.74,950.89,899.5,903.75,961.3,67201.0,47571263.0,192333004.0
127,2019-02-19,900.0,904.93,961.3,908.7,915.31,971.92,900.0,904.93,961.3,900.1,908.25,964.75,84749.0,77889250.0,221942197.0
128,2019-02-20,901.5,907.82,964.35,908.9,913.51,972.75,899.5,906.64,963.29,908.9,911.72,970.58,87347.0,54873095.0,165095115.0
129,2019-02-21,908.1,911.8,970.58,925.0,921.26,981.44,908.1,911.54,970.31,925.0,917.43,978.39,37825.0,51971440.0,157487215.0
130,2019-02-22,912.6,926.09,987.57,924.5,934.65,993.16,911.8,920.78,982.86,919.4,930.75,988.91,124838.0,70646570.0,210640575.0
131,2019-02-25,926.0,929.5,988.91,938.2,943.99,999.9,926.0,929.5,988.91,937.0,938.98,994.23,114068.0,76524050.0,219851729.0
132,2019-02-26,934.0,939.47,994.43,935.0,941.45,996.44,919.0,922.93,979.24,922.9,928.77,987.06,140349.0,59765330.0,241740498.0
133,2019-02-27,927.5,929.51,987.06,932.4,935.76,994.46,920.6,928.59,987.06,923.0,930.64,990.27,132041.0,53307243.0,253408891.0
134,2019-02-28,923.1,930.54,990.27,923.6,930.81,990.27,900.0,909.44,965.47,900.0,910.53,965.47,150089.0,65930880.0,221104143.0
135,2019-03-01,906.5,904.98,965.47,912.5,915.62,980.82,901.7,904.96,965.47,910.0,915.29,979.54,153034.0,38721538.0,164026636.0
136,2019-03-04,915.0,915.32,979.63,927.0,929.28,994.46,915.0,915.32,979.63,926.9,926.78,993.99,119586.0,55745650.0,232443091.0
137,2019-03-05,921.9,928.42,993.99,930.5,931.23,1000.25,917.5,922.05,987.92,917.5,924.79,992.45,163684.0,78457486.0,292530415.0
138,2019-03-06,915.5,923.66,992.45,918.9,926.32,994.49,905.6,916.89,985.51,918.0,921.78,994.49,163768.0,35735335.0,240290687.0
139,2019-03-07,919.7,923.58,994.49,925.5,930.79,1004.55,908.0,923.55,994.03,908.0,925.36,994.03,180793.0,51259197.0,205109880.0
140,2019-03-08,904.0,922.29,994.03,906.5,922.29,994.03,895.2,913.39,984.48,899.0,914.51,985.25,158087.0,50007533.0,201760453.0
141,2019-03-11,904.5,914.74,985.25,912.4,918.73,987.11,902.2,911.88,981.34,911.8,917.83,984.6,137706.0,30489380.0,176591493.0
142,2019-03-12,919.5,922.54,993.83,930.0,927.67,1001.32,915.6,920.07,991.46,930.0,927.49,1001.32,72562.0,32219670.0,97809793.0
143,2019-03-13,927.8,929.86,1001.32,933.6,939.17,1009.77,926.8,929.86,1001.32,927.0,936.1,1005.41,131532.0,73070560.0,225936692.0
144,2019-03-14,930.0,935.41,1005.41,930.3,937.82,1011.39,924.5,931.33,1002.09,926.0,935.62,1008.44,128306.0,56134895.0,215115568.0
145,2019-03-15,927.6,934.42,1008.44,928.0,934.87,1008.44,922.1,924.45,1001.1,927.0,925.5,1003.9,93781.0,73381496.0,236215084.0
146,2019-03-18,931.5,927.06,1004.12,937.5,935.16,1013.29,931.3,926.85,1004.12,935.1,934.01,1011.86,71031.0,72101480.0,221607704.0
147,2019-03-19,934.0,932.75,1011.86,935.1,935.67,1014.51,925.0,924.91,1004.22,926.1,927.14,1006.59,96669.0,58514116.0,228027096.0
148,2019-03-20,922.0,927.56,1006.59,925.2,927.56,1006.59,916.4,914.77,992.02,925.2,924.19,1002.3,81860.0,153988970.0,296032184.0
149,2019-03-21,925.8,924.12,1002.3,926.8,928.32,1006.37,908.0,911.91,981.78,908.0,912.49,981.78,43787.0,44478613.0,197944202.0
150,2019-03-22,895.6,907.87,981.78,900.7,914.69,990.07,891.0,906.64,981.3,897.4,912.19,988.71,134932.0,49819750.0,181812647.0
151,2019-03-25,882.2,912.27,988.71,884.3,912.27,988.71,874.0,889.17,964.76,883.0,891.22,970.07,115852.0,59843199.0,235017357.0
152,2019-03-26,887.1,893.4,970.07,888.5,901.81,978.99,878.0,892.47,966.9,880.0,895.62,969.79,1824155.0,35064970.0,166345539.0
153,2019-03-27,883.8,894.58,969.79,887.5,903.35,979.32,882.0,894.58,969.79,884.0,902.37,975.91,1407472.0,35795752.0,152945725.0
154,2019-03-28,881.1,901.76,975.91,885.6,903.88,983.18,880.5,898.17,972.6,883.2,901.88,982.98,1258953.0,47002380.0,200643565.0
155,2019-03-29,887.9,901.65,982.98,891.0,906.84,988.24,884.0,901.19,981.74,884.0,903.91,981.74,1452291.0,49404653.0,162469154.0
156,2019-04-01,890.7,900.13,980.76,890.8,905.92,988.53,887.0,900.13,980.76,890.0,905.7,988.53,64539.0,39561090.0,166444311.0
157,2019-04-02,895.1,905.87,988.53,896.0,912.94,996.41,885.1,902.43,985.48,885.1,904.42,985.81,84449.0,33696770.0,181083537.0
158,2019-04-03,886.8,903.59,985.81,888.0,903.59,985.81,882.7,897.47,980.3,888.0,901.42,984.46,89475.0,96525491.0,214864395.0
159,2019-04-04,887.0,901.5,984.46,889.5,906.29,989.08,884.6,900.97,982.94,888.0,905.84,986.91,96497.0,29753220.0,158070839.0
160,2019-04-05,888.8,904.33,986.91,889.0,905.76,990.38,886.7,902.77,986.39,888.0,905.45,989.16,60717.0,72085098.0,182850306.0
161,2019-04-08,888.7,904.69,989.26,894.8,907.2,997.56,888.2,900.97,989.26,894.8,905.92,997.56,71697.0,31156460.0,159186585.0
162,2019-04-09,895.5,906.55,997.56,896.2,908.94,1000.02,886.0,898.8,987.82,887.0,901.44,988.48,102480.0,40983660.0,162758854.0
163,2019-04-10,882.8,900.07,988.48,886.1,900.07,988.48,881.1,887.75,976.83,885.2,893.26,981.91,100449.0,40728569.0,156268296.0
164,2019-04-11,885.0,893.19,981.91,885.5,896.68,985.68,881.2,892.62,981.06,883.1,896.68,985.06,1161250.0,20771710.0,123435905.0
165,2019-04-12,883.2,896.04,985.95,885.4,896.04,985.95,881.9,891.71,980.26,885.0,894.32,982.9,726375.0,33345822.0,147185563.0
166,2019-04-16,881.8,893.1,982.9,885.4,893.1,982.9,879.0,877.38,963.06,885.4,887.43,977.17,70041.0,42810532.0,148071908.0
167,2019-04-17,885.2,887.76,977.17,886.5,891.78,980.71,882.2,885.64,972.11,883.0,885.81,972.11,449679.0,45712512.0,175730747.0
168,2019-04-18,882.3,885.66,972.1,883.1,887.48,973.73,877.0,877.52,962.05,877.0,878.37,962.3,254432.0,36298980.0,156964887.0
169,2019-04-19,867.8,877.02,962.3,868.4,884.77,971.73,865.7,877.02,962.3,866.2,880.37,967.16,55777.0,22850960.0,103522946.0
170,2019-04-22,865.1,880.62,966.21,865.6,880.9,966.69,860.0,873.55,959.33,861.9,877.63,965.86,70407.0,28546000.0,213314586.0
171,2019-04-23,861.2,878.23,965.86,867.9,881.67,970.98,861.1,875.05,964.35,865.5,878.71,968.0,84389.0,46138665.0,148351456.0
172,2019-04-24,868.4,878.29,968.0,873.4,889.02,978.71,867.9,877.97,968.0,872.8,888.31,976.92,80829.0,29216509.0,129347561.0
173,2019-04-25,872.0,888.65,976.92,872.9,888.91,976.92,867.1,883.72,971.92,868.6,884.61,974.13,76615.0,32224758.0,146958840.0
174,2019-04-26,868.4,885.65,974.13,877.0,890.69,979.62,868.0,882.58,970.73,877.0,890.06,979.62,101989.0,29181690.0,115763757.0
175,2019-05-02,879.4,890.55,979.64,879.4,893.35,979.93,874.7,889.61,975.51,877.6,893.12,978.5,63394.0,43858792.0,147366043.0
176,2019-05-03,875.2,893.87,978.5,880.0,895.7,978.5,875.2,889.2,971.75,880.0,893.42,974.14,78071.0,36165700.0,145342360.0
177,2019-05-06,870.9,895.42,974.14,870.9,895.42,974.14,864.4,875.71,955.41,866.6,878.88,957.97,85333.0,41365471.0,153491744.0
178,2019-05-07,871.0,878.8,957.97,874.2,885.14,965.61,867.8,876.18,955.42,873.7,877.58,957.56,108009.0,39553610.0,139276838.0
179,2019-05-08,868.4,877.02,947.98,874.5,877.02,953.88,868.2,867.18,947.86,873.3,874.23,951.22,81096.0,35761327.0,130596954.0
180,2019-05-09,873.0,872.78,951.22,875.2,875.89,953.66,871.0,868.73,944.91,871.0,872.6,947.01,79617.0,78967922.0,167248385.0
181,2019-05-10,876.9,871.5,947.01,877.3,877.59,953.92,871.8,871.28,947.01,876.7,875.77,952.55,603483.0,29050100.0,124347610.0
182,2019-05-13,876.4,876.45,952.55,878.9,879.55,958.54,876.3,874.68,951.76,877.3,879.42,958.54,40853.0,42029360.0,224291418.0
183,2019-05-14,876.0,879.64,958.54,883.0,881.99,964.25,874.5,871.96,952.13,883.0,880.86,963.44,43050.0,32490060.0,135790709.0
184,2019-05-15,884.0,882.67,965.34,893.0,893.68,977.65,883.6,882.67,965.34,892.1,893.59,975.64,38094.0,42096650.0,186777164.0
